SKP,Vasemmistoliitto,Itsenisyyspuolue,Muutos 2011,SDP,Vihret,Kristillisdemokraatit,Kokoomus,Perussuomalaiset,RKP,Keskusta,Piraattipuolue
0.13689217758985217,0.3582694318577901,1.8353576248313088,2.2459893048128343,1.3069315673289224,1.2094251390792574,0.6810966810966818,0.31895509151011886,1.2021192052980119,0.8505050505050511,0.549890522364717,1.4301270417422869
1.2262156448202948,0.939308121296621,1.5236167341430498,2.0900178253119432,0.9666225165562929,1.26775780053213,1.3079777365491654,0.5894138514875426,1.4382339955849932,0.9360269360269363,1.2745282035241363,1.261040532365396
0.6104651162790697,1.0044876263506426,1.5357624831309042,2.053475935828877,1.9562030905077248,0.339151818108521,1.5444238301381166,1.0769975006046903,1.626313465783664,1.802693602693603,1.5120425398811403,1.7679975801572905
0.8810782241014795,1.1066138027187193,1.070175438596491,1.344919786096257,1.2712582781456931,0.5850600661130375,1.2432488146773863,1.1587922276868485,1.303664459161148,1.341414141414141,1.2385569805025536,1.537810042347248
0.29175475687103625,0.7476036946671324,2.701754385964911,0.6131907308377901,1.0526269315673296,1.1248891397242595,1.066790352504638,0.42892848504394165,0.8347902869757197,0.9508417508417517,0.839745594828484,1.371143375680581
1.9281183932346722,1.6835134193098646,1.89203778677463,0.1675579322638147,1.9829580573951455,1.7310328146416165,1.5506081220366923,1.7700556317020077,0.48732891832229663,0.162962962962963,1.5328954227922,0.35571687840290317
0.13689217758985214,0.648832345765076,1.9122807017543864,1.6292335115864534,1.1939955849889603,1.1184390873175853,1.258091115233973,0.6462952511489153,1.4739072847682115,1.5205387205387197,0.9856115107913668,0.6391409558378701
1.9281183932346722,1.50644823980481,1.8394062078272608,1.7860962566844911,1.458013245033112,1.627509473514475,1.6198721913007648,1.510642586471016,1.510905077262696,1.4006734006734007,1.3607548743613775,1.2791893526920752
2.260042283298097,1.4818752178459385,2.085020242914979,1.0418894830659542,1.8525386313465766,1.644440861081999,0.7142857142857144,1.5085463194388427,1.8991611479028685,1.5037037037037024,1.588989677822958,0.14307320024198422
0.7801268498942918,1.1256535378180539,0.4817813765182186,0.7807486631016044,1.733951434878585,1.4709344513424174,0.8051948051948051,1.700596629847616,0.9872847682119211,1.5508417508417511,0.4685642790115734,1.045674531155476
0.2045454545454545,0.14704600906239113,1.7989203778677456,1.5837789661319075,0.2852980132450332,0.6661694751269859,1.6697588126159546,1.2964605337418378,1.5192935982339961,1.6579124579124571,1.4500052132207264,1.914095583787052
1.0967230443974632,1.386545834785638,0.6167341430499321,1.7085561497326216,1.6406181015452506,1.6047730387809427,1.1801690373118952,1.5989679916149324,1.1050772626931558,1.2525252525252528,0.5880512980919613,1.6978221415607988
0.1495771670190275,0.3973074241896113,2.155195681511473,1.4982174688057046,0.6225165562913904,0.9215915504313474,1.2337662337662336,0.5555107635249538,1.5945253863134647,1.1333333333333324,1.3127932436659366,1.501814882032669
0.31923890063424987,1.7092628093412323,0.4466936572199734,1.087344028520499,1.5658278145695343,1.269088123841007,1.2172747887033606,1.4566233975651053,0.7147902869757194,1.2101010101010088,1.2666041080179353,0.9996975196612221
1.4011627906976745,0.9926368072499129,1.6815114709851555,0.8770053475935828,1.3520529801324477,1.7194227203096037,1.6662543805400951,1.598967991614932,1.898278145695366,1.385858585858586,1.5022416849129365,0.8505747126436778
2.145348837209302,1.3237626350644807,1.3535762483130913,0.6809269162210337,0.783487858719647,0.580222526808029,1.2444856730571017,0.5953801499637198,1.0652538631346593,0.8033670033670023,0.6849129392138449,1.3058076225045374
0.9661733615221991,0.755620425235276,2.473684210526316,1.6898395721925135,1.2792052980132436,1.2400628880109645,1.4990723562152137,0.7962992824316719,1.2553642384105947,1.0255892255892254,1.2809925972265679,1.638535995160315
0.36363636363636354,0.2509149529452781,0.41025641025641074,1.2406417112299462,0.6867991169977955,1.2416754011126343,1.270871985157698,0.5939288881722147,1.0493598233995585,1.711784511784513,0.771035345636534,1.9434361766485182
0.5089852008456659,1.1167218543046358,1.2199730094466932,0.9768270944741535,1.5032229580573953,1.4920986858018233,0.6254380540094828,0.6079577521567371,0.3382781456953639,0.8505050505050508,0.6842873527265141,1.3575317604355717
2.038054968287527,1.9316399442314431,0.7449392712550609,1.7540106951871652,1.7890507726269338,0.6124324760138674,1.5528756957328405,1.240990083044427,0.9472847682119205,1.1191919191919188,1.6146387238035647,1.3142770719903207
0.6569767441860465,0.5628703380968947,2.114709851551956,2.5320855614973263,1.0343487858719635,0.07240183826493612,0.5425685425685431,1.6894702894460984,1.5405739514348786,0.4430976430976442,2.058492336565531,0.44071385359951637
0.8091966173361529,0.8433252004182631,2.0242914979757076,0.532085561497326,1.2322295805739538,0.4916552446988616,1.0259740259740273,1.5112875917116844,1.2716997792494482,0.6969696969696968,1.3100823688874992,1.5127041742286755
1.819767441860465,1.4701986754966887,1.623481781376518,0.9171122994652406,1.5610596026490051,1.160565992098688,1.8641517212945786,1.335483350802225,1.2719646799117001,1.4760942760942766,1.5498905223647157,1.7546884452510587
1.1205073995771666,1.18909027535727,1.2388663967611337,1.137254901960784,1.5335982339955871,1.0999354994759314,0.20490620490620512,0.7198661614125634,0.5313907284768222,1.5589225589225593,0.6268376603065372,1.2912885662431952
0.0,0.23422795399093876,1.2807017543859642,1.5793226381461674,0.5031346578366438,1.0778440699830696,1.3024118738404447,0.4823026687091844,1.5196467991169968,1.2404040404040406,1.180690230424354,1.6648517846339992
0.25951374207188177,0.2795399093760888,1.8272604588394061,2.0606060606060606,0.9333333333333333,0.8609610578085954,1.3261183261183245,0.4496089655728448,1.4725827814569554,1.2101010101010106,1.1456573871337699,1.3635813672111317
0.2600422832980972,0.20873997908678962,0.6234817813765184,2.331550802139037,0.915849889624724,0.7635249536402463,1.456400742115028,1.0396275094735163,1.7848123620309047,1.5959595959595956,1.353143572098845,1.7994555353901984
0.41596194503171247,0.6437347507842466,2.721997300944669,2.4884135472370765,1.073907284768212,1.2578005321293249,0.9866007008864142,0.8175441425461575,1.485827814569534,1.0316498316498313,1.1207381920550517,1.8838475499092562
0.6485200845665958,0.8532589752527018,1.515519568151147,1.683600713012478,1.1924944812362017,0.4097798919616217,1.1065759637188206,1.0934854470692605,1.352494481236202,1.0909090909090904,1.4168491293921377,1.3950393224440427
0.13689217758985214,0.41403799233182476,1.1673414304993255,1.4616755793226381,0.8238410596026506,0.29121986616141365,0.8443619872191316,0.936426670966704,1.2579249448123602,0.818181818181818,1.066416432071735,0.7395644283121601
